split,role,model,target,n,mae,rmse,r2,spearman_rho,variant
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_gutenberg_pg_19_val_loss,63,3.581417033096089,3.5949355804607017,-281.58271976589293,0.4981278801843318,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_pile_cc_val_loss,63,3.800293994605051,3.8112044114894164,-327.5957626933083,0.18130760368663595,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_ubuntu_irc_val_loss,63,4.43472067198762,4.462146556485459,-206.37123963803307,0.5796370967741935,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_hackernews_val_loss,63,3.577939691638797,3.591654009413771,-436.6864399044484,0.153465821812596,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_pubmed_abstracts_val_loss,63,3.6122546063162964,3.6324660330992034,-284.8854848779737,0.37653609831029183,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_uspto_backgrounds_val_loss,63,3.4125138131042285,3.4287411095751525,-233.1741851505388,0.43544109355446425,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_arxiv_val_loss,63,3.709170612406451,3.7644658940388007,-246.51856957265318,0.6355606758832565,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_freelaw_val_loss,63,3.7844109990319668,3.824372772748211,-215.01536468748907,0.6604742703533026,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_pubmed_central_val_loss,63,3.8124360099196872,3.8463336915795625,-353.8339690776435,0.603110599078341,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_wikipedia_en_val_loss,63,4.28350740866214,4.298376247164587,-424.8226303561681,0.3397177419354839,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_dm_mathematics_val_loss,63,3.010823655875577,3.0811383369852323,-89.90835549366358,0.5763728878648233,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_github_val_loss,63,4.031233960920399,4.073860348250292,-351.834487825374,0.5123847926267281,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_stackexchange_val_loss,63,3.948124922767804,3.971265118874292,-653.9994542213317,0.4164316488352968,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_gutenberg_pg_19_val_loss,63,3.9546229078304864,3.9689344995068274,-424.908142041183,0.4227630568356375,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_pile_cc_val_loss,63,4.205052757665765,4.215118397796296,-463.8389861660533,0.09375,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_ubuntu_irc_val_loss,63,4.9085982611019645,4.932324143784353,-368.8596002079989,0.39859829349900716,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_hackernews_val_loss,63,3.9563906225244057,3.9698857862028487,-604.8486886147049,0.10464669738863287,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_pubmed_abstracts_val_loss,63,4.018832145252027,4.0396684369778955,-440.4378530273997,0.22436635944700462,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_uspto_backgrounds_val_loss,63,3.799799267881024,3.816315392954982,-370.2551229046877,0.3829296979237108,closed
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_arxiv_val_loss,63,3.7090712936172308,3.764363511748796,-246.50510621605608,0.6364247311827957,raw
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_freelaw_val_loss,63,3.7845988112178772,3.8245487966309097,-215.03525016442026,0.6610023041474654,raw
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_pubmed_central_val_loss,63,3.812407947678624,3.84631962211668,-353.8313731956286,0.6042626728110599,raw
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_wikipedia_en_val_loss,63,4.283485954611204,4.298353358431552,-424.81809538110036,0.3397177419354839,raw
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_dm_mathematics_val_loss,63,3.0108727799985355,3.081189870011316,-89.91139646185113,0.574644777265745,raw
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_github_val_loss,63,4.03123041314867,4.073857218861878,-351.8339457568494,0.5094566052227343,raw
estimate_70b,estimate_consistency_only,simplex_ridge,metric/the_pile_stackexchange_val_loss,63,3.9481488325328304,3.9712814160906427,-654.0048301856145,0.4189518403700349,raw
