replicate,sampled_cluster_sequence,E,A,alpha,B,beta,sse
51,EleutherAI/pythia-2.8b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1.4b;EleutherAI/pythia-12b;EleutherAI/pythia-1b;EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-410m,1.689820043905058,0.3538808802238148,0.34006941213443237,1.2403875166520242,0.27984454939135595,2.0002894524256702e-05
52,EleutherAI/pythia-160m;EleutherAI/pythia-1.4b;EleutherAI/pythia-2.8b;EleutherAI/pythia-70m;EleutherAI/pythia-160m;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-70m,1.6897687857238866,0.35406305488451967,0.339919233964001,1.2402527298640038,0.2798995767832979,3.1760426235722255e-05
53,EleutherAI/pythia-12b;EleutherAI/pythia-160m;EleutherAI/pythia-12b;EleutherAI/pythia-70m;EleutherAI/pythia-2.8b;EleutherAI/pythia-70m;EleutherAI/pythia-6.9b;EleutherAI/pythia-12b,1.689774642993407,0.35406278137622227,0.339910004997109,1.240274289915218,0.2798959847380832,2.5738513232257633e-05
54,EleutherAI/pythia-12b;EleutherAI/pythia-12b;EleutherAI/pythia-1b;EleutherAI/pythia-160m;EleutherAI/pythia-160m;EleutherAI/pythia-12b;EleutherAI/pythia-2.8b;EleutherAI/pythia-160m,1.689774707385523,0.3538905132432668,0.34006726125702313,1.2404667811531878,0.27983887276768826,2.310306512235468e-05
55,EleutherAI/pythia-160m;EleutherAI/pythia-160m;EleutherAI/pythia-70m;EleutherAI/pythia-160m;EleutherAI/pythia-2.8b;EleutherAI/pythia-12b;EleutherAI/pythia-12b;EleutherAI/pythia-410m,1.6897170641807744,0.3540315181390889,0.3399360257947759,1.2404081726059974,0.2798662664118261,2.7274087075248294e-05
56,EleutherAI/pythia-410m;EleutherAI/pythia-410m;EleutherAI/pythia-1b;EleutherAI/pythia-1.4b;EleutherAI/pythia-1b;EleutherAI/pythia-12b;EleutherAI/pythia-12b;EleutherAI/pythia-2.8b,1.6898000796796064,0.3538810512275125,0.34007325219031115,1.2403913045604558,0.27983549338633174,1.8911568994894294e-05
57,EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b;EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-1.4b;EleutherAI/pythia-1b;EleutherAI/pythia-160m,1.6898425220301134,0.353886121035364,0.3400733878531557,1.2403406640227665,0.2798589074367059,2.5346637473638625e-05
58,EleutherAI/pythia-410m;EleutherAI/pythia-6.9b;EleutherAI/pythia-12b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1b;EleutherAI/pythia-1.4b;EleutherAI/pythia-1b;EleutherAI/pythia-1b,1.689813025213163,0.35387767100187656,0.3400763447224854,1.2403465700735241,0.2798342335318817,2.042322984716591e-05
59,EleutherAI/pythia-410m;EleutherAI/pythia-2.8b;EleutherAI/pythia-2.8b;EleutherAI/pythia-6.9b;EleutherAI/pythia-12b;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b,1.6897808286686067,0.35396403565999573,0.3399864428298,1.240301036443326,0.2798562858121668,1.896722705540429e-05
60,EleutherAI/pythia-6.9b;EleutherAI/pythia-6.9b;EleutherAI/pythia-6.9b;EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-1.4b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1b,1.689848632308865,0.3539299773216158,0.3400349482103239,1.2402827234091587,0.2798763996527906,2.207301908804131e-05
