replicate,rmse,mae,r2
358,0.00013314400766018114,9.679897273565806e-05,0.9999998020966342
359,0.00017262511453001588,0.00012087600408258491,0.9999998198871876
360,0.00016009357407957922,0.00011745958047538698,0.9999997927588237
361,0.0001251641557482522,8.886322683984685e-05,0.999999764675656
362,0.00015052480736288718,0.00010718472859902556,0.9999998141231311
363,0.00011555350201996287,8.319826730256004e-05,0.9999998016436227
364,0.0001602919556619282,0.0001170710824694613,0.9999997866415168
365,0.00015112311675213977,0.00010601271319858522,0.9999998339229842
366,0.00015083399229328206,0.00010996048937863439,0.9999998015390771
367,0.0001470994399106034,0.00010933911517001607,0.9999997592516905
368,0.0001490169152543507,0.00010772318714244123,0.9999998101689667
369,0.00016035843204432822,0.00011420205616574641,0.9999998189097581
370,0.00013171283416830136,9.500216530054396e-05,0.9999998536845184
371,0.00016001002055955865,0.00011346252412467971,0.9999997686018273
372,0.00015020685619496655,0.0001052971896308685,0.9999998415202108
373,0.00015382323546576845,0.00010807731719104334,0.9999997969010831
374,0.00016035843204432822,0.00011420205616574641,0.9999998189097581
375,0.00014012048075161477,9.63206921512e-05,0.9999997733238006
376,0.00014385305925340372,0.00010015231771131831,0.9999997983616976
377,0.00014550791690920336,0.00010366633976488893,0.9999998294084714
378,0.00015072993873249847,0.00011030171442641949,0.99999980389505
379,0.0001411753525585952,0.00010218890350630722,0.999999818840181
380,0.00012707866629745583,9.05048231219126e-05,0.9999998218393162
381,0.00015476849424272648,0.00010574586559575178,0.9999998380689564
382,0.00012456052545765657,9.087619109359837e-05,0.9999997649932467
383,0.00015671609939006535,0.00011110015365933888,0.9999998258612667
384,0.00013705974235030463,9.739252408768821e-05,0.9999997610080594
385,0.0001590702733027502,0.00011650424867212964,0.9999997581686003
386,0.0001377264446023792,9.955456504393737e-05,0.9999997832936064
387,0.00011438468603259589,8.16764886340836e-05,0.9999998015183653
388,0.00012342412376715594,8.998271866658824e-05,0.9999998284637123
389,0.00015733060764035715,0.00011156771770337657,0.9999997998002862
390,0.00014657173269034242,0.0001034463685630133,0.9999997841495102
391,0.00015694519976648707,0.0001167449407426626,0.9999997756817544
392,0.0001491212273034227,0.00010315968392651487,0.9999998013727645
393,0.00013838603154048667,9.720037574240077e-05,0.9999997844813981
394,0.0001440592137666605,0.000104157525350164,0.999999821891215
395,0.0001641976006430539,0.00011936292511694113,0.9999997839774712
396,0.0001569451997664871,0.0001167449407426626,0.9999997756817544
397,0.00015944543984210211,0.00011231122959289671,0.9999997667375418
398,0.00014194664651676615,9.791501547512516e-05,0.9999998050401483
399,0.0001717496649275644,0.00012490193259008793,0.9999998002434819
400,0.00013118865673082748,9.871013324505252e-05,0.9999997837582532
401,0.0001619741999970962,0.00011597432834896497,0.9999997986904803
402,0.00014477574279796307,0.00010256231819124652,0.9999998297198782
403,0.00014079250422044525,0.00010118196184000908,0.9999997906813918
404,0.00016384859102125458,0.00011945619064104718,0.9999997662982711
405,0.0001438667935020854,0.00010383575040393133,0.9999997611669683
406,0.0001451982400481179,0.0001042800595882486,0.9999998135373849
407,0.00013460017301942023,9.314352836484847e-05,0.9999997932222108
408,0.00016143339873883855,0.00011984557248196521,0.9999997287874415
409,0.00015428073576527837,0.0001077588298495033,0.9999998341178489
410,0.00014634641044909168,0.00010472308838039075,0.9999998226617918
411,0.00014354594900610015,9.726055370135838e-05,0.999999759322963
412,0.00015368677320727934,0.0001098190670613954,0.9999998334359163
413,0.00018547705523850108,0.00013803419014415594,0.9999997257285383
414,0.00014962941623000562,0.00010566294993054913,0.9999998117857721
415,0.00014065492918925195,0.00010232944198855386,0.9999998076983713
416,0.00012440720199731454,8.652323702430429e-05,0.9999997935870643
417,0.0001270722609188505,9.14890270819657e-05,0.999999781287282
418,0.00016252999679360205,0.00011712562288074797,0.9999997943765458
419,0.00016031697659015716,0.00011888208939056944,0.9999997232193936
420,0.0001479875915469709,0.00010384340478918999,0.9999998216664128
421,0.00015073485602114633,0.00010257395242495861,0.9999997925242856
422,0.0001512026252387984,0.00010647774325155983,0.9999998412455313
423,0.00017977230338276935,0.00012845124029427384,0.9999997724046927
424,0.0001433281593919285,0.00010216528196506983,0.99999979392889
425,0.0001465578469641736,0.00010531879433451816,0.9999997916280146
426,0.00016675487105303338,0.00011757429884563126,0.999999798097089
427,0.00014087969439672597,9.771866581448692e-05,0.9999997715080028
428,0.0001491771533833018,0.00010462893902129235,0.9999998522846847
429,0.00015711553454403264,0.00011382864148080712,0.9999998089206135
430,0.0001347101465666251,9.630778715038299e-05,0.9999998086258911
431,0.0001469807594552932,0.00010605233177146716,0.9999997928845552
