mapping_scenario,q_scenario,split,model,n_recipes,macro_normalized_rmse,nested_macro_normalized_rmse,macro_mae,macro_rmse,macro_r2,delta_normalized_rmse_vs_linear,delta_normalized_rmse_vs_quadratic,delta_macro_rmse_vs_linear,delta_macro_rmse_vs_quadratic
direct_plus_near,q_equal_candidate,train_1m_nested_cv,p_plus_Qcovered,507,0.7463656938222344,0.7462325058114282,0.4867649520919749,0.5739142603269821,0.44301627373607677,0.1161095726537602,0.15683137992388563,0.08351983675648855,0.11102570380891058
direct_plus_near,q_huber_candidate,test_1b,p_only_linear,64,5.231228919380206,,3.178108678458561,3.1920287165674135,-807.2899397179897,0.0,0.278348115366021,0.0,0.20591418763736735
direct_plus_near,q_huber_candidate,test_1b,p_only_quadratic,64,4.952880804014185,,2.9665301935040946,2.986114528930046,-674.416969778876,-0.278348115366021,0.0,-0.20591418763736735,0.0
direct_plus_near,q_huber_candidate,test_1b,p_plus_Qcovered,64,5.070259696524969,,3.0779785710077947,3.083483816162966,-787.1643766983402,-0.16096922285523707,0.11737889251078393,-0.10854490040444764,0.09736928723291971
direct_plus_near,q_huber_candidate,test_1m,p_only_linear,256,0.5864805006289184,,0.38741539923748436,0.4534345272400919,0.62000408434036,0.0,0.04657896546102236,0.0,0.033708885349878315
direct_plus_near,q_huber_candidate,test_1m,p_only_quadratic,256,0.5399015351678961,,0.3426549480087221,0.4197256418902136,0.6812692083041889,-0.04657896546102236,0.0,-0.033708885349878315,0.0
direct_plus_near,q_huber_candidate,test_1m,p_plus_Qcovered,256,0.7108369164712173,,0.47481288186016424,0.5441476399984277,0.4504310041244475,0.12435641584229884,0.1709353813033212,0.09071311275833582,0.12442199810821414
direct_plus_near,q_huber_candidate,test_60m,p_only_linear,256,2.3701698780951617,,1.5084256483068448,1.5549394532852483,-7.884918888904583,0.0,0.05201149426702001,0.0,0.04131057999544652
direct_plus_near,q_huber_candidate,test_60m,p_only_quadratic,256,2.3181583838281417,,1.4685256370228659,1.5136288732898018,-7.4459767434792825,-0.05201149426702001,0.0,-0.04131057999544652,0.0
direct_plus_near,q_huber_candidate,test_60m,p_plus_Qcovered,256,2.289534016537623,,1.4594682137616486,1.5139373803600227,-7.404010405167999,-0.08063586155753866,-0.02862436729051865,-0.04100207292522562,0.00030850707022089807
direct_plus_near,q_huber_candidate,train_1m_nested_cv,p_only_linear,507,0.6302561211684742,0.6301888701005939,0.4133339684640246,0.49039442357049357,0.6027103694500386,0.0,0.04072180727012542,0.0,0.02750586705242203
direct_plus_near,q_huber_candidate,train_1m_nested_cv,p_only_quadratic,507,0.5895343138983488,0.5894546772770323,0.37022197035217064,0.46288855651807154,0.6522530622912478,-0.04072180727012542,0.0,-0.02750586705242203,0.0
direct_plus_near,q_huber_candidate,train_1m_nested_cv,p_plus_Qcovered,507,0.7515292732826458,0.7514003947005758,0.49283768842971826,0.5800390035661268,0.4355251753704185,0.12127315211417167,0.1619949593842971,0.08964457999563324,0.11715044704805527
direct_plus_near,q_huber_exclude_7_frac_sensitivity,test_1b,p_only_linear,64,5.231228919380206,,3.178108678458561,3.1920287165674135,-807.2899397179897,0.0,0.278348115366021,0.0,0.20591418763736735
direct_plus_near,q_huber_exclude_7_frac_sensitivity,test_1b,p_only_quadratic,64,4.952880804014185,,2.9665301935040946,2.986114528930046,-674.416969778876,-0.278348115366021,0.0,-0.20591418763736735,0.0
direct_plus_near,q_huber_exclude_7_frac_sensitivity,test_1b,p_plus_Qcovered,64,5.02118014330084,,3.0738515102072417,3.079391424565978,-795.6471639112642,-0.21004877607936656,0.06829933928665444,-0.11263729200143535,0.093276895635932
direct_plus_near,q_huber_exclude_7_frac_sensitivity,test_1m,p_only_linear,256,0.5864805006289184,,0.38741539923748436,0.4534345272400919,0.62000408434036,0.0,0.04657896546102236,0.0,0.033708885349878315
