scenario,candidate,source_domain,all_a1_domain_score,scenario_domain_score,all_a1_rank_1_is_highest_score,scenario_rank_1_is_highest_score,rank_shift,seven_domain_rank_spearman,all_a1_macro_domain_score,scenario_macro_domain_score,macro_delta
unicode_broad_clean_a1,q_huber,c4,0.5767322748885473,0.5766734722635736,1.0,1.0,0.0,1.0,0.49847810484764643,0.4984565630720602,-2.154177558622017e-05
unicode_broad_clean_a1,q_huber,commoncrawl,0.5359722946905645,0.5359728935937849,3.0,3.0,0.0,1.0,0.49847810484764643,0.4984565630720602,-2.154177558622017e-05
unicode_broad_clean_a1,q_huber,github,0.3894803356606058,0.38955625223162293,7.0,7.0,0.0,1.0,0.49847810484764643,0.4984565630720602,-2.154177558622017e-05
unicode_broad_clean_a1,q_huber,stackexchange,0.5183681310908792,0.5183630776258692,4.0,4.0,0.0,1.0,0.49847810484764643,0.4984565630720602,-2.154177558622017e-05
unicode_broad_clean_a1,q_huber,wikipedia,0.4787129620836854,0.478681110118627,5.0,5.0,0.0,1.0,0.49847810484764643,0.4984565630720602,-2.154177558622017e-05
unicode_strict_clean_a1,q_equal,arxiv,0.5320965357791057,0.5321021754042565,3.0,3.0,0.0,1.0,0.4962230100496153,0.4962423660051325,1.935595551721958e-05
unicode_strict_clean_a1,q_equal,book,0.4316026991517443,0.4317234929528393,6.0,6.0,0.0,1.0,0.4962230100496153,0.4962423660051325,1.935595551721958e-05
unicode_strict_clean_a1,q_equal,c4,0.5705254959740866,0.5705242020552408,1.0,1.0,0.0,1.0,0.4962230100496153,0.4962423660051325,1.935595551721958e-05
unicode_strict_clean_a1,q_equal,commoncrawl,0.5340113140988176,0.5340210557215972,2.0,2.0,0.0,1.0,0.4962230100496153,0.4962423660051325,1.935595551721958e-05
unicode_strict_clean_a1,q_equal,github,0.40449680208832284,0.40449681099299717,7.0,7.0,0.0,1.0,0.4962230100496153,0.4962423660051325,1.935595551721958e-05
unicode_strict_clean_a1,q_equal,stackexchange,0.5173367560072943,0.5173380040917284,4.0,4.0,0.0,1.0,0.4962230100496153,0.4962423660051325,1.935595551721958e-05
unicode_strict_clean_a1,q_equal,wikipedia,0.48349146724793535,0.48349082081726813,5.0,5.0,0.0,1.0,0.4962230100496153,0.4962423660051325,1.935595551721958e-05
unicode_strict_clean_a1,q_huber,arxiv,0.5613319908558356,0.5610524841494584,2.0,2.0,0.0,1.0,0.49847810484764643,0.4984062063739706,-7.189847367583546e-05
unicode_strict_clean_a1,q_huber,book,0.42874874466340707,0.428509291086959,6.0,6.0,0.0,1.0,0.49847810484764643,0.4984062063739706,-7.189847367583546e-05
unicode_strict_clean_a1,q_huber,c4,0.5767322748885473,0.5766610377025483,1.0,1.0,0.0,1.0,0.49847810484764643,0.4984062063739706,-7.189847367583546e-05
unicode_strict_clean_a1,q_huber,commoncrawl,0.5359722946905645,0.535949436040509,3.0,3.0,0.0,1.0,0.49847810484764643,0.4984062063739706,-7.189847367583546e-05
unicode_strict_clean_a1,q_huber,github,0.3894803356606058,0.38967475817848474,7.0,7.0,0.0,1.0,0.49847810484764643,0.4984062063739706,-7.189847367583546e-05
unicode_strict_clean_a1,q_huber,stackexchange,0.5183681310908792,0.5183227489881457,4.0,4.0,0.0,1.0,0.49847810484764643,0.4984062063739706,-7.189847367583546e-05
