split,role,model,n_recipes,n_targets,macro_mae,macro_rmse,macro_normalized_rmse,macro_r2,macro_spearman_rho,worst_rmse_target,worst_rmse,nested_macro_normalized_rmse,mapping_scenario,q_scenario
test_1m,heldout_same_scale_previously_seen,p_only_quadratic,256,13,0.3426549480087221,0.4197256418902136,0.5399015351678961,0.6812692083041889,0.8439717876824481,metric/the_pile_dm_mathematics_val_loss,1.2031811816376563,,direct_plus_near,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,256,13,0.47481877461145083,0.5441514643876769,0.7108468475683797,0.4504199763685976,0.752457601193725,metric/the_pile_dm_mathematics_val_loss,1.5089553771026034,,direct_plus_near,q_huber_unicode_broad_sensitivity
test_60m,heldout_cross_scale_previously_seen,p_only_linear,256,13,1.5084256483068448,1.5549394532852483,2.3701698780951617,-7.884918888904583,0.8317844692501364,metric/the_pile_github_val_loss,2.61858164096134,,direct_plus_near,q_huber_unicode_broad_sensitivity
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,256,13,1.4685256370228659,1.5136288732898018,2.3181583838281417,-7.4459767434792825,0.8459472441326127,metric/the_pile_github_val_loss,2.541189506129987,,direct_plus_near,q_huber_unicode_broad_sensitivity
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,256,13,1.45947413977412,1.5139434330294121,2.2895441632629847,-7.404118655458484,0.7467750277303379,metric/the_pile_github_val_loss,2.4742516619233244,,direct_plus_near,q_huber_unicode_broad_sensitivity
test_1b,heldout_cross_scale_previously_seen,p_only_linear,64,13,3.178108678458561,3.1920287165674135,5.231228919380206,-807.2899397179897,0.7314032121724429,metric/the_pile_github_val_loss,4.4140042337570256,,direct_plus_near,q_huber_unicode_broad_sensitivity
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,64,13,2.9665301935040946,2.986114528930046,4.952880804014185,-674.416969778876,0.8023175542406311,metric/the_pile_github_val_loss,4.056025553155523,,direct_plus_near,q_huber_unicode_broad_sensitivity
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,64,13,3.077984328615495,3.0834895605133386,5.070259631640441,-787.1684912200587,0.7264969005353621,metric/the_pile_github_val_loss,4.15852921098084,,direct_plus_near,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,256,13,0.38741539923748436,0.4534345272400919,0.5864805006289184,0.62000408434036,0.8336013015652235,metric/the_pile_dm_mathematics_val_loss,1.1659224546534066,,direct_plus_near,q_huber_exclude_7_frac_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_quadratic,256,13,0.3426549480087221,0.4197256418902136,0.5399015351678961,0.6812692083041889,0.8439717876824481,metric/the_pile_dm_mathematics_val_loss,1.2031811816376563,,direct_plus_near,q_huber_exclude_7_frac_sensitivity
