split,role,model,target,n,mae,rmse,r2,spearman_rho,normalized_rmse,mapping_scenario,q_scenario
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_pubmed_central_val_loss,248,1.7187414687857567,1.7548592451155995,-8.962978141317706,0.8443482693999191,2.1356743795986453,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_wikipedia_en_val_loss,248,1.282721213123789,1.3126072872463617,-5.816173629448681,0.8624402271486363,2.5006086320462932,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_dm_mathematics_val_loss,248,1.291870400726218,1.4803377746108737,-2.829302460199869,0.4167397027052968,0.9767864046635386,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_github_val_loss,248,2.22475546371206,2.2621495818922512,-11.839036664386242,0.8879881547870992,2.4141267589137856,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_stackexchange_val_loss,248,1.623882794764748,1.6610508012119543,-9.214931005253547,0.8422051796057155,2.4099986780475153,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_gutenberg_pg_19_val_loss,248,0.865923330022721,0.8973763335125917,-4.3978780661265064,0.8445111253424302,2.1009479687204213,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_pile_cc_val_loss,248,0.9892839586496031,1.0023593039832983,-9.3264795999323,0.8860323099895993,3.2200715169016085,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_ubuntu_irc_val_loss,248,1.7864012813537395,1.9064478912526475,-6.51974284658434,0.3764836019014021,1.8884378643132975,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_hackernews_val_loss,248,0.7938724609181509,0.8303825138455988,-6.156328407664711,0.6344379739147264,2.505982490706486,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_pubmed_abstracts_val_loss,248,1.2864039220851777,1.3211972633232547,-4.859916272622848,0.8788635015443779,2.251485694405012,direct_only,q_huber_candidate
