publication_year,record_count,calendar_coverage_status,training_compute_scalar_n,training_compute_median_FLOP,training_compute_p90_FLOP,training_compute_confident_scalar_n,dataset_size_scalar_n,dataset_size_median_tokens,dataset_size_p90_tokens,dataset_size_confident_scalar_n,parameter_count_scalar_n,parameter_count_median,parameter_count_p90,parameter_count_confident_scalar_n,confidence_confident_n,confidence_likely_n,confidence_unknown_n,confidence_speculative_n,confidence_blank_n,open_weights_yes_n,open_weights_no_n,open_weights_unknown_n,numerical_format_counts,estimation_method_counts,cutoff,summary_scope,smoke_run
2014,44,calendar_year_ended_before_cutoff,15,5.184e+17,3.851639999999998e+19,8,32,1294750.0,706520959.7000009,13,26,26750000.0,144248000.0,11,16,7,10,2,9,1,12,31,"{""<blank>"": 37, ""FP32"": 7}","{""<blank>"": 29, ""Hardware"": 7, ""Hardware,Operation counting"": 1, ""Operation counting"": 1, ""Operation counting,Hardware,Third-party estimation"": 1, ""Third-party estimation"": 4, ""Third-party estimation,Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2015,44,calendar_year_ended_before_cutoff,14,3.742493455e+18,7.780000000000008e+19,10,29,1280000.0,3061439999.999992,16,28,11353122.5,102334160.00000003,16,21,4,10,1,8,7,16,21,"{""<blank>"": 33, ""FP32"": 11}","{""<blank>"": 30, ""Hardware"": 4, ""Hardware,Operation counting"": 1, ""Operation counting"": 5, ""Operation counting,Hardware"": 1, ""Operation counting,Third-party estimation"": 2, ""Third-party estimation"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2016,92,calendar_year_ended_before_cutoff,27,1.3079231999999998e+17,1.0216000000000031e+21,17,58,1280000.0,936971200.0000019,24,47,37000000.0,286799999.99999994,21,36,14,27,6,9,12,34,46,"{""<blank>"": 72, ""FP32"": 20}","{""<blank>"": 67, ""Comparison with other models"": 1, ""Comparison with other models,Operation counting"": 1, ""Hardware"": 8, ""Hardware,Operation counting"": 1, ""Hardware,Third-party estimation"": 2, ""Operation counting"": 10, ""Third-party estimation"": 1, ""Third-party estimation,Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2017,91,calendar_year_ended_before_cutoff,29,5.7267e+17,5.6172190445184e+20,18,61,1280000.0,25380000000.0,23,48,27050000.0,137800000.00000024,25,32,13,29,5,12,5,46,40,"{""<blank>"": 70, ""FP32"": 21}","{""<blank>"": 66, ""Benchmarks"": 1, ""Comparison with other models"": 2, ""Hardware"": 8, ""Hardware,Third-party estimation"": 1, ""Operation counting"": 10, ""Third-party estimation"": 2, ""Third-party estimation,Hardware"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2018,99,calendar_year_ended_before_cutoff,51,3.1593888e+17,2.16e+20,22,62,75000000.0,13739999999.999996,28,73,51000000.0,463399999.99999994,33,39,26,14,9,11,26,51,22,"{""<blank>"": 87, ""FP16"": 2, ""FP32"": 10}","{""<blank>"": 53, ""Hardware"": 13, ""Hardware,Operation counting"": 4, ""Operation counting"": 21, ""Operation counting,Hardware"": 2, ""Operation counting,Hardware,Third-party estimation"": 1, ""Operation counting,Third-party estimation"": 1, ""Third-party estimation"": 4}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2019,168,calendar_year_ended_before_cutoff,82,2.33520465e+19,9.090000000010001e+21,42,96,103000000.0,46400000000.0,52,131,75000000.0,829000000.0,70,84,25,20,16,23,52,111,5,"{""<blank>"": 142, ""FP16"": 9, ""FP32"": 17}","{""<blank>"": 96, ""Hardware"": 24, ""Hardware,Operation counting"": 6, ""Hardware,Operation counting,Third-party estimation"": 2, ""Operation counting"": 29, ""Operation counting,Hardware"": 3, ""Operation counting,Third-party estimation"": 2, ""Reported"": 2, ""Reported,Operation counting,Third-party estimation"": 1, ""Third-party estimation"": 2, ""Third-party estimation,Reported"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2020,126,calendar_year_ended_before_cutoff,77,2.6052e+20,1.4989120000000006e+22,54,80,3888620000.0,300000000000.0,54,102,138500000.0,2645000000.0000005,65,74,17,13,8,14,51,60,15,"{""<blank>"": 112, ""BF16"": 2, ""FP16"": 7, ""FP32"": 5}","{""<blank>"": 49, ""Hardware"": 19, ""Hardware,Operation counting"": 4, ""Hardware,Operation counting,Third-party estimation"": 1, ""Hardware,Third-party estimation"": 2, ""Hardware,Third-party estimation,Operation counting"": 1, ""Operation counting"": 27, ""Operation counting,Hardware"": 8, ""Reported"": 10, ""Third-party estimation"": 2, ""Third-party estimation,Hardware"": 1, ""Third-party estimation,Hardware,Operation counting"": 1, ""Third-party estimation,Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2021,209,calendar_year_ended_before_cutoff,139,1.1e+21,7.3492e+22,89,111,22050000000.0,1048576000000.0,65,179,564000000.0,145200000000.0007,118,125,35,18,20,11,79,114,16,"{""<blank>"": 170, ""BF16"": 6, ""FP16"": 27, ""FP32"": 6}","{""<blank>"": 75, ""Comparison with other models"": 3, ""Comparison with other models,Hardware,Operation counting"": 1, ""Hardware"": 52, ""Hardware,Operation counting"": 5, ""Operation counting"": 45, ""Operation counting,Hardware"": 10, ""Operation counting,Third-party estimation"": 1, ""Reported"": 7, ""Reported,Operation counting"": 1, ""Third-party estimation"": 7, ""Third-party estimation,Operation counting"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2022,233,calendar_year_ended_before_cutoff,130,4.6286331499999994e+21,3.54910494505e+23,93,151,20000000000.0,850000000000.0,96,174,1525000000.0,134900000000.00012,120,137,40,27,15,14,105,102,26,"{""<blank>"": 198, ""BF16"": 9, ""FP16"": 24, ""FP32"": 1, ""TF32"": 1}","{""<blank>"": 107, ""Comparison with other models"": 5, ""Comparison with other models,Benchmarks"": 1, ""Comparison with other models,Hardware"": 1, ""Comparison with other models,Operation counting"": 1, ""Hardware"": 53, ""Hardware,Operation counting"": 7, ""Hardware,Third-party estimation"": 5, ""Operation counting"": 36, ""Operation counting,Hardware"": 6, ""Operation counting,Third-party estimation"": 1, ""Reported"": 6, ""Reported,Hardware"": 1, ""Reported,Operation counting"": 1, ""Third-party estimation"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2023,523,calendar_year_ended_before_cutoff,229,3.456e+22,6.508000000000026e+23,158,209,299892736000.0,2600000000000.0,138,389,8000000000.0,70000000000.0,261,291,104,90,35,3,266,182,75,"{""<blank>"": 463, ""BF16"": 36, ""FP16"": 20, ""FP32"": 3, ""FP8"": 1}","{""<blank>"": 270, ""Benchmarks"": 3, ""Benchmarks,Hardware"": 2, ""Comparison with other models"": 3, ""Hardware"": 77, ""Hardware,Benchmarks"": 1, ""Hardware,Comparison with other models"": 1, ""Hardware,Operation counting"": 17, ""Hardware,Other"": 1, ""Hardware,Reported"": 1, ""Operation counting"": 116, ""Operation counting,Hardware"": 16, ""Operation counting,Reported"": 2, ""Operation counting,Third-party estimation"": 1, ""Other"": 1, ""Reported"": 4, ""Reported,Hardware"": 2, ""Reported,Operation counting"": 3, ""Reported,Operation counting,Hardware"": 1, ""Third-party estimation"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2024,949,calendar_year_ended_before_cutoff,310,5.041e+22,2.366000000000006e+24,245,224,200000000000.0,10000000000000.0,178,553,7000000000.0,72560000000.00002,453,554,108,252,32,3,405,294,250,"{""<blank>"": 887, ""BF16"": 51, ""FP16"": 2, ""FP32"": 3, ""FP8"": 4, ""TF32"": 1, ""Unknown"": 1}","{""<blank>"": 593, ""Benchmarks"": 8, ""Comparison with other models"": 4, ""Comparison with other models,Reported"": 1, ""Cost"": 2, ""Hardware"": 107, ""Hardware,Cost,Benchmarks"": 1, ""Hardware,Operation counting"": 24, ""Operation counting"": 156, ""Operation counting,Comparison with other models"": 1, ""Operation counting,Hardware"": 26, ""Other"": 3, ""Other,Operation counting"": 1, ""Reported"": 16, ""Reported,Operation counting"": 6}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2025,147,partial_calendar_year_at_cutoff,49,6.24e+23,4.3612646400000037e+24,35,34,2734000000000.0,15164000000000.0,23,94,8000000000.0,130000000000.0,70,75,16,45,11,0,79,53,15,"{""<blank>"": 139, ""BF16"": 6, ""FP16"": 1, ""FP8"": 1}","{""<blank>"": 87, ""Benchmarks"": 2, ""Hardware"": 13, ""Hardware,Comparison with other models"": 1, ""Hardware,Operation counting"": 4, ""Operation counting"": 31, ""Operation counting,Hardware"": 4, ""Operation counting,Reported"": 1, ""Reported"": 4}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
